lat,lon
23.1,-74.1
23.4,-74.53333333333333
23.8,-74.86666666666667
24.5,-75.0
25.4,-75.23333333333333
26.0,-75.86666666666667
26.1,-76.4
26.2,-76.83333333333333
26.2,-77.26666666666667
26.0,-77.6
25.9,-77.63333333333333
25.4,-78.46666666666667
25.1,-79.0
24.9,-79.43333333333332
24.6,-79.96666666666667
24.4,-80.5
24.4,-81.03333333333333
24.5,-81.46666666666667
24.8,-81.9
25.2,-82.53333333333333
25.7,-83.36666666666667
26.3,-84.1
27.2,-84.53333333333333
28.2,-84.76666666666667
29.3,-84.6
29.5,-84.43333333333332
30.2,-84.26666666666667
31.1,-84.1
32.6,-83.43333333333332
34.1,-82.76666666666667
35.6,-82.0
37.0,-80.83333333333333
38.6,-78.96666666666667
40.1,-76.4
40.1,-89.4
38.6,-91.63333333333333
37.0,-93.16666666666667
35.6,-94.0
34.1,-94.43333333333332
32.6,-94.76666666666667
31.1,-95.1
30.2,-94.93333333333332
29.5,-94.76666666666667
29.3,-94.6
28.2,-94.43333333333332
27.2,-93.86666666666667
26.3,-93.1
25.7,-92.03333333333333
25.2,-90.86666666666667
24.8,-89.9
24.5,-89.13333333333333
24.4,-88.36666666666667
24.4,-87.5
24.6,-86.63333333333333
24.9,-85.76666666666667
25.1,-85.0
25.4,-84.13333333333333
25.9,-82.96666666666667
26.0,-82.6
26.2,-81.93333333333332
26.2,-81.16666666666667
26.1,-80.4
26.0,-79.53333333333333
25.4,-78.56666666666668
24.5,-78.0
23.8,-77.53333333333333
23.4,-76.86666666666667
23.1,-76.1
