time,extra_obs,special,type,lat,lon,vmax,mslp,wmo_basin
2005-08-23 18:00:00,0,,TD,23.1,-75.1,30,1008,north_atlantic
2005-08-24 00:00:00,0,,TD,23.4,-75.7,30,1007,north_atlantic
2005-08-24 06:00:00,0,,TD,23.8,-76.2,30,1007,north_atlantic
2005-08-24 12:00:00,0,,TS,24.5,-76.5,35,1006,north_atlantic
2005-08-24 18:00:00,0,,TS,25.4,-76.9,40,1003,north_atlantic
2005-08-25 00:00:00,0,,TS,26.0,-77.7,45,1000,north_atlantic
2005-08-25 06:00:00,0,,TS,26.1,-78.4,50,997,north_atlantic
2005-08-25 12:00:00,0,,TS,26.2,-79.0,55,994,north_atlantic
2005-08-25 18:00:00,0,,TS,26.2,-79.6,60,988,north_atlantic
2005-08-25 22:30:00,1,L,HU,26.0,-80.1,70,984,north_atlantic
2005-08-26 00:00:00,0,,HU,25.9,-80.3,70,983,north_atlantic
2005-08-26 06:00:00,0,,HU,25.4,-81.3,65,987,north_atlantic
2005-08-26 12:00:00,0,,HU,25.1,-82.0,75,979,north_atlantic
2005-08-26 18:00:00,0,,HU,24.9,-82.6,85,968,north_atlantic
2005-08-27 00:00:00,0,,HU,24.6,-83.3,90,959,north_atlantic
2005-08-27 06:00:00,0,,HU,24.4,-84.0,95,950,north_atlantic
2005-08-27 12:00:00,0,,HU,24.4,-84.7,100,942,north_atlantic
2005-08-27 18:00:00,0,,HU,24.5,-85.3,100,948,north_atlantic
2005-08-28 00:00:00,0,,HU,24.8,-85.9,100,941,north_atlantic
2005-08-28 06:00:00,0,,HU,25.2,-86.7,125,930,north_atlantic
2005-08-28 12:00:00,0,,HU,25.7,-87.7,145,909,north_atlantic
2005-08-28 18:00:00,0,,HU,26.3,-88.6,150,902,north_atlantic
2005-08-29 00:00:00,0,,HU,27.2,-89.2,140,905,north_atlantic
2005-08-29 06:00:00,0,,HU,28.2,-89.6,125,913,north_atlantic
2005-08-29 11:10:00,1,L,HU,29.3,-89.6,110,920,north_atlantic
2005-08-29 12:00:00,0,,HU,29.5,-89.6,110,923,north_atlantic
2005-08-29 14:45:00,1,L,HU,30.2,-89.6,105,928,north_atlantic
2005-08-29 18:00:00,0,,HU,31.1,-89.6,80,948,north_atlantic
2005-08-30 00:00:00,0,,TS,32.6,-89.1,50,961,north_atlantic
2005-08-30 06:00:00,0,,TS,34.1,-88.6,40,978,north_atlantic
2005-08-30 12:00:00,0,,TD,35.6,-88.0,30,985,north_atlantic
2005-08-30 18:00:00,0,,TD,37.0,-87.0,30,990,north_atlantic
2005-08-31 00:00:00,0,,EX,38.6,-85.3,30,994,north_atlantic
2005-08-31 06:00:00,0,,EX,40.1,-82.9,25,996,north_atlantic
